"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: blockTypeStr"
"GeoDriverBenchParams.checkNearestNSWEBytes","thrpt",4,5,642.566830,1.693848,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes:CPI","thrpt",4,1,0.813256,NaN,"clks/insn",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes:IPC","thrpt",4,1,1.229625,NaN,"insns/clk",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes:branch-misses","thrpt",4,1,23834.352761,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes:branches","thrpt",4,1,1029698.495455,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes:cycles","thrpt",4,1,4899896.934378,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes:instructions","thrpt",4,1,6025037.794314,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2","thrpt",4,5,3264.868515,83.000309,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytes2:CPI","thrpt",4,1,1.094532,NaN,"clks/insn",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytes2:IPC","thrpt",4,1,0.913632,NaN,"insns/clk",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytes2:branch-misses","thrpt",4,1,673.332712,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytes2:branches","thrpt",4,1,109851.948216,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytes2:cycles","thrpt",4,1,957220.383609,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytes2:instructions","thrpt",4,1,874547.446312,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytes2","thrpt",4,5,22346.814522,402.903614,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:CPI","thrpt",4,1,0.423430,NaN,"clks/insn",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:IPC","thrpt",4,1,2.361667,NaN,"insns/clk",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:branch-misses","thrpt",4,1,13.130388,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:branches","thrpt",4,1,50299.525911,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:cycles","thrpt",4,1,140564.810940,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:instructions","thrpt",4,1,331967.240112,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2","thrpt",4,5,4478.932424,84.823907,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:CPI","thrpt",4,1,1.191761,NaN,"clks/insn",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:IPC","thrpt",4,1,0.839094,NaN,"insns/clk",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:branch-misses","thrpt",4,1,22.151561,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:branches","thrpt",4,1,71040.163737,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:cycles","thrpt",4,1,699091.443184,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:instructions","thrpt",4,1,586603.749522,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2","thrpt",4,5,644.797980,5.756266,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:CPI","thrpt",4,1,0.808287,NaN,"clks/insn",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:IPC","thrpt",4,1,1.237184,NaN,"insns/clk",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:branch-misses","thrpt",4,1,24070.832288,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:branches","thrpt",4,1,1030326.957154,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:cycles","thrpt",4,1,4889102.708330,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2:instructions","thrpt",4,1,6048720.262583,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect","thrpt",4,5,2987.725536,6.914034,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:CPI","thrpt",4,1,1.034715,NaN,"clks/insn",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:IPC","thrpt",4,1,0.966450,NaN,"insns/clk",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:branch-misses","thrpt",4,1,1847.293672,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:branches","thrpt",4,1,126289.578264,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:cycles","thrpt",4,1,1049061.787566,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:instructions","thrpt",4,1,1013865.520177,NaN,"#/op",RANDOM
