"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: blockTypeStr"
"GeoDriverBenchParams.checkNearestNSWE","thrpt",4,5,2230.141423,11.563812,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:CPI","thrpt",4,1,1.233325,NaN,"clks/insn",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:IPC","thrpt",4,1,0.810816,NaN,"insns/clk",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:L1-dcache-loads","thrpt",4,1,345545.498451,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:L1-dcache-stores","thrpt",4,1,93365.055791,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:L1-icache-load-misses","thrpt",4,1,1061.019480,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:L1-icache-loads","thrpt",4,1,490769.369440,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:LLC-load-misses","thrpt",4,1,0.012131,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:LLC-loads","thrpt",4,1,4316.132532,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:LLC-store-misses","thrpt",4,1,0.017167,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:LLC-stores","thrpt",4,1,75.758579,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:branch-misses","thrpt",4,1,3602.795711,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:branches","thrpt",4,1,155107.810975,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:cycles","thrpt",4,1,1371971.206963,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:dTLB-load-misses","thrpt",4,1,2428.667651,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:dTLB-loads","thrpt",4,1,345397.183896,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:dTLB-store-misses","thrpt",4,1,4.864813,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:dTLB-stores","thrpt",4,1,93279.628288,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:iTLB-load-misses","thrpt",4,1,47.783285,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:instructions","thrpt",4,1,1112416.840396,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE","thrpt",4,5,16507.609289,208.900969,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:CPI","thrpt",4,1,0.407520,NaN,"clks/insn",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:IPC","thrpt",4,1,2.453865,NaN,"insns/clk",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:L1-dcache-loads","thrpt",4,1,100247.172676,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:L1-dcache-stores","thrpt",4,1,10287.072490,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:L1-icache-load-misses","thrpt",4,1,19.615905,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:L1-icache-loads","thrpt",4,1,54930.602330,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:LLC-load-misses","thrpt",4,1,0.000093,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:LLC-loads","thrpt",4,1,3.036131,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:LLC-store-misses","thrpt",4,1,0.000000,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:LLC-stores","thrpt",4,1,0.626635,NaN,"#/op",FLAT_BLOCK
