"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: blockTypeStr"
"checkNearestNSWEFFMStruct:branch-misses","thrpt",4,1,23586.261269,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEFFMStruct:branches","thrpt",4,1,892100.935733,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEFFMStruct:cycles","thrpt",4,1,4337258.629588,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEFFMStruct:instructions","thrpt",4,1,5847498.876528,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEFFM_T","thrpt",4,10,3124.546476,3.232390,"ops/s",RANDOM
"checkNearestNSWEFFM_T:CPI","thrpt",4,1,0.980253,NaN,"clks/insn",RANDOM
"checkNearestNSWEFFM_T:IPC","thrpt",4,1,1.020145,NaN,"insns/clk",RANDOM
"checkNearestNSWEFFM_T:branch-misses","thrpt",4,1,757.601634,NaN,"#/op",RANDOM
"checkNearestNSWEFFM_T:branches","thrpt",4,1,141624.811719,NaN,"#/op",RANDOM
"checkNearestNSWEFFM_T:cycles","thrpt",4,1,1002947.870849,NaN,"#/op",RANDOM
"checkNearestNSWEFFM_T:instructions","thrpt",4,1,1023152.390471,NaN,"#/op",RANDOM
"checkNearestNSWEFFM_T","thrpt",4,10,22454.180320,40.833674,"ops/s",FLAT_BLOCK
"checkNearestNSWEFFM_T:CPI","thrpt",4,1,0.409612,NaN,"clks/insn",FLAT_BLOCK
"checkNearestNSWEFFM_T:IPC","thrpt",4,1,2.441334,NaN,"insns/clk",FLAT_BLOCK
"checkNearestNSWEFFM_T:branch-misses","thrpt",4,1,11.566435,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEFFM_T:branches","thrpt",4,1,60188.413487,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEFFM_T:cycles","thrpt",4,1,139786.195953,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEFFM_T:instructions","thrpt",4,1,341264.728126,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEFFM_T","thrpt",4,10,4560.389354,3.668088,"ops/s",COMPLEX_BLOCK
"checkNearestNSWEFFM_T:CPI","thrpt",4,1,1.190486,NaN,"clks/insn",COMPLEX_BLOCK
"checkNearestNSWEFFM_T:IPC","thrpt",4,1,0.839993,NaN,"insns/clk",COMPLEX_BLOCK
"checkNearestNSWEFFM_T:branch-misses","thrpt",4,1,14.352874,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEFFM_T:branches","thrpt",4,1,80859.712944,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEFFM_T:cycles","thrpt",4,1,685061.365129,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEFFM_T:instructions","thrpt",4,1,575446.651667,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEFFM_T","thrpt",4,10,750.359700,0.696844,"ops/s",MULTILAYER_BLOCK
"checkNearestNSWEFFM_T:CPI","thrpt",4,1,0.894513,NaN,"clks/insn",MULTILAYER_BLOCK
"checkNearestNSWEFFM_T:IPC","thrpt",4,1,1.117927,NaN,"insns/clk",MULTILAYER_BLOCK
"checkNearestNSWEFFM_T:branch-misses","thrpt",4,1,23135.995747,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEFFM_T:branches","thrpt",4,1,663353.915715,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEFFM_T:cycles","thrpt",4,1,4192449.507669,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEFFM_T:instructions","thrpt",4,1,4686851.873979,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE_old","thrpt",4,10,2290.578772,1.806005,"ops/s",RANDOM
"checkNearestNSWE_old:CPI","thrpt",4,1,1.233492,NaN,"clks/insn",RANDOM
"checkNearestNSWE_old:IPC","thrpt",4,1,0.810706,NaN,"insns/clk",RANDOM
"checkNearestNSWE_old:branch-misses","thrpt",4,1,3475.465872,NaN,"#/op",RANDOM
"checkNearestNSWE_old:branches","thrpt",4,1,154632.869315,NaN,"#/op",RANDOM
"checkNearestNSWE_old:cycles","thrpt",4,1,1369259.563314,NaN,"#/op",RANDOM
"checkNearestNSWE_old:instructions","thrpt",4,1,1110067.585426,NaN,"#/op",RANDOM
"checkNearestNSWE_old","thrpt",4,10,16053.679492,60.368682,"ops/s",FLAT_BLOCK
"checkNearestNSWE_old:CPI","thrpt",4,1,0.423437,NaN,"clks/insn",FLAT_BLOCK
"checkNearestNSWE_old:IPC","thrpt",4,1,2.361629,NaN,"insns/clk",FLAT_BLOCK
"checkNearestNSWE_old:branch-misses","thrpt",4,1,11.788622,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE_old:branches","thrpt",4,1,50266.009036,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE_old:cycles","thrpt",4,1,195498.450515,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE_old:instructions","thrpt",4,1,461694.774508,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE_old","thrpt",4,10,3022.584868,1.967914,"ops/s",COMPLEX_BLOCK
"checkNearestNSWE_old:CPI","thrpt",4,1,1.670949,NaN,"clks/insn",COMPLEX_BLOCK
"checkNearestNSWE_old:IPC","thrpt",4,1,0.598462,NaN,"insns/clk",COMPLEX_BLOCK
"checkNearestNSWE_old:branch-misses","thrpt",4,1,16.170358,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE_old:branches","thrpt",4,1,61297.330461,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE_old:cycles","thrpt",4,1,1032926.764127,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE_old:instructions","thrpt",4,1,618167.725921,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE_old","thrpt",4,10,725.989393,0.441239,"ops/s",MULTILAYER_BLOCK
"checkNearestNSWE_old:CPI","thrpt",4,1,1.170768,NaN,"clks/insn",MULTILAYER_BLOCK
"checkNearestNSWE_old:IPC","thrpt",4,1,0.854140,NaN,"insns/clk",MULTILAYER_BLOCK
"checkNearestNSWE_old:branch-misses","thrpt",4,1,22448.658749,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE_old:branches","thrpt",4,1,655096.386472,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE_old:cycles","thrpt",4,1,4332027.529908,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE_old:instructions","thrpt",4,1,3700158.762685,NaN,"#/op",MULTILAYER_BLOCK
