"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: blockTypeStr"
"checkNearestNSWE","thrpt",4,10,2293.545040,1.733493,"ops/s",RANDOM
"checkNearestNSWE:CPI","thrpt",4,1,1.231573,NaN,"clks/insn",RANDOM
"checkNearestNSWE:IPC","thrpt",4,1,0.811970,NaN,"insns/clk",RANDOM
"checkNearestNSWE:branch-misses","thrpt",4,1,3526.087725,NaN,"#/op",RANDOM
"checkNearestNSWE:branches","thrpt",4,1,154637.389835,NaN,"#/op",RANDOM
"checkNearestNSWE:cycles","thrpt",4,1,1367154.283727,NaN,"#/op",RANDOM
"checkNearestNSWE:instructions","thrpt",4,1,1110088.152951,NaN,"#/op",RANDOM
"checkNearestNSWE","thrpt",4,10,16096.154605,56.835536,"ops/s",FLAT_BLOCK
"checkNearestNSWE:CPI","thrpt",4,1,0.422243,NaN,"clks/insn",FLAT_BLOCK
"checkNearestNSWE:IPC","thrpt",4,1,2.368304,NaN,"insns/clk",FLAT_BLOCK
"checkNearestNSWE:branch-misses","thrpt",4,1,11.815912,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE:branches","thrpt",4,1,50266.329546,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE:cycles","thrpt",4,1,194946.925755,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE:instructions","thrpt",4,1,461693.523067,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","thrpt",4,10,3040.183620,2.741588,"ops/s",COMPLEX_BLOCK
"checkNearestNSWE:CPI","thrpt",4,1,1.660526,NaN,"clks/insn",COMPLEX_BLOCK
"checkNearestNSWE:IPC","thrpt",4,1,0.602219,NaN,"insns/clk",COMPLEX_BLOCK
"checkNearestNSWE:branch-misses","thrpt",4,1,16.229210,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE:branches","thrpt",4,1,61298.433672,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE:cycles","thrpt",4,1,1026479.923981,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE:instructions","thrpt",4,1,618165.643391,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWE","thrpt",4,10,728.068901,0.347114,"ops/s",MULTILAYER_BLOCK
"checkNearestNSWE:CPI","thrpt",4,1,1.167456,NaN,"clks/insn",MULTILAYER_BLOCK
"checkNearestNSWE:IPC","thrpt",4,1,0.856563,NaN,"insns/clk",MULTILAYER_BLOCK
"checkNearestNSWE:branch-misses","thrpt",4,1,22331.226312,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE:branches","thrpt",4,1,655102.419091,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE:cycles","thrpt",4,1,4319784.227732,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWE:instructions","thrpt",4,1,3700167.445194,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes","thrpt",4,10,3349.489754,2.284811,"ops/s",RANDOM
"checkNearestNSWEBytes:CPI","thrpt",4,1,1.152988,NaN,"clks/insn",RANDOM
"checkNearestNSWEBytes:IPC","thrpt",4,1,0.867312,NaN,"insns/clk",RANDOM
"checkNearestNSWEBytes:branch-misses","thrpt",4,1,695.877004,NaN,"#/op",RANDOM
"checkNearestNSWEBytes:branches","thrpt",4,1,99792.452430,NaN,"#/op",RANDOM
"checkNearestNSWEBytes:cycles","thrpt",4,1,935108.844568,NaN,"#/op",RANDOM
"checkNearestNSWEBytes:instructions","thrpt",4,1,811030.951625,NaN,"#/op",RANDOM
"checkNearestNSWEBytes","thrpt",4,10,22267.239138,46.816441,"ops/s",FLAT_BLOCK
"checkNearestNSWEBytes:CPI","thrpt",4,1,0.413012,NaN,"clks/insn",FLAT_BLOCK
"checkNearestNSWEBytes:IPC","thrpt",4,1,2.421236,NaN,"insns/clk",FLAT_BLOCK
"checkNearestNSWEBytes:branch-misses","thrpt",4,1,11.571966,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes:branches","thrpt",4,1,60190.910754,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes:cycles","thrpt",4,1,140952.365889,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes:instructions","thrpt",4,1,341278.906774,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytes","thrpt",4,10,4431.579059,5.507928,"ops/s",COMPLEX_BLOCK
"checkNearestNSWEBytes:CPI","thrpt",4,1,1.183550,NaN,"clks/insn",COMPLEX_BLOCK
"checkNearestNSWEBytes:IPC","thrpt",4,1,0.844916,NaN,"insns/clk",COMPLEX_BLOCK
"checkNearestNSWEBytes:branch-misses","thrpt",4,1,14.410944,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes:branches","thrpt",4,1,70897.840374,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes:cycles","thrpt",4,1,704938.107813,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes:instructions","thrpt",4,1,595613.427996,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytes","thrpt",4,10,715.609859,0.452482,"ops/s",MULTILAYER_BLOCK
"checkNearestNSWEBytes:CPI","thrpt",4,1,0.975658,NaN,"clks/insn",MULTILAYER_BLOCK
"checkNearestNSWEBytes:IPC","thrpt",4,1,1.024949,NaN,"insns/clk",MULTILAYER_BLOCK
"checkNearestNSWEBytes:branch-misses","thrpt",4,1,23481.624203,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes:branches","thrpt",4,1,665199.576105,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes:cycles","thrpt",4,1,4395554.850841,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytes:instructions","thrpt",4,1,4505220.989831,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen","thrpt",4,10,3367.891545,3.238091,"ops/s",RANDOM
"checkNearestNSWEBytesGen:CPI","thrpt",4,1,1.151025,NaN,"clks/insn",RANDOM
"checkNearestNSWEBytesGen:IPC","thrpt",4,1,0.868791,NaN,"insns/clk",RANDOM
"checkNearestNSWEBytesGen:branch-misses","thrpt",4,1,699.952168,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen:branches","thrpt",4,1,99781.546184,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen:cycles","thrpt",4,1,929943.913549,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen:instructions","thrpt",4,1,807926.907548,NaN,"#/op",RANDOM
"checkNearestNSWEBytesGen","thrpt",4,10,22386.449191,32.115907,"ops/s",FLAT_BLOCK
"checkNearestNSWEBytesGen:CPI","thrpt",4,1,0.410891,NaN,"clks/insn",FLAT_BLOCK
"checkNearestNSWEBytesGen:IPC","thrpt",4,1,2.433737,NaN,"insns/clk",FLAT_BLOCK
"checkNearestNSWEBytesGen:branch-misses","thrpt",4,1,11.551259,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen:branches","thrpt",4,1,60188.840016,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen:cycles","thrpt",4,1,140223.626482,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen:instructions","thrpt",4,1,341267.375694,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesGen","thrpt",4,10,4370.099276,5.734983,"ops/s",COMPLEX_BLOCK
"checkNearestNSWEBytesGen:CPI","thrpt",4,1,1.200075,NaN,"clks/insn",COMPLEX_BLOCK
"checkNearestNSWEBytesGen:IPC","thrpt",4,1,0.833281,NaN,"insns/clk",COMPLEX_BLOCK
"checkNearestNSWEBytesGen:branch-misses","thrpt",4,1,14.400763,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen:branches","thrpt",4,1,70908.049300,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen:cycles","thrpt",4,1,714863.632785,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen:instructions","thrpt",4,1,595682.233857,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesGen","thrpt",4,10,714.681878,0.388227,"ops/s",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen:CPI","thrpt",4,1,0.978938,NaN,"clks/insn",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen:IPC","thrpt",4,1,1.021515,NaN,"insns/clk",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen:branch-misses","thrpt",4,1,23238.146294,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen:branches","thrpt",4,1,665179.338519,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen:cycles","thrpt",4,1,4401252.063157,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesGen:instructions","thrpt",4,1,4495946.650428,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesMmap","thrpt",4,10,2975.791418,3.559270,"ops/s",RANDOM
"checkNearestNSWEBytesMmap:CPI","thrpt",4,1,1.039722,NaN,"clks/insn",RANDOM
"checkNearestNSWEBytesMmap:IPC","thrpt",4,1,0.961796,NaN,"insns/clk",RANDOM
"checkNearestNSWEBytesMmap:branch-misses","thrpt",4,1,1870.140753,NaN,"#/op",RANDOM
"checkNearestNSWEBytesMmap:branches","thrpt",4,1,126150.864256,NaN,"#/op",RANDOM
"checkNearestNSWEBytesMmap:cycles","thrpt",4,1,1053439.978919,NaN,"#/op",RANDOM
"checkNearestNSWEBytesMmap:instructions","thrpt",4,1,1013193.861055,NaN,"#/op",RANDOM
"checkNearestNSWEBytesMmap","thrpt",4,10,22236.087891,41.952257,"ops/s",FLAT_BLOCK
"checkNearestNSWEBytesMmap:CPI","thrpt",4,1,0.413580,NaN,"clks/insn",FLAT_BLOCK
"checkNearestNSWEBytesMmap:IPC","thrpt",4,1,2.417912,NaN,"insns/clk",FLAT_BLOCK
"checkNearestNSWEBytesMmap:branch-misses","thrpt",4,1,11.578619,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesMmap:branches","thrpt",4,1,60190.474542,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesMmap:cycles","thrpt",4,1,141145.472119,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesMmap:instructions","thrpt",4,1,341277.266143,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEBytesMmap","thrpt",4,10,4449.533313,8.067335,"ops/s",COMPLEX_BLOCK
"checkNearestNSWEBytesMmap:CPI","thrpt",4,1,1.178511,NaN,"clks/insn",COMPLEX_BLOCK
"checkNearestNSWEBytesMmap:IPC","thrpt",4,1,0.848528,NaN,"insns/clk",COMPLEX_BLOCK
"checkNearestNSWEBytesMmap:branch-misses","thrpt",4,1,15.946431,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesMmap:branches","thrpt",4,1,70893.756972,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesMmap:cycles","thrpt",4,1,701910.983931,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesMmap:instructions","thrpt",4,1,595591.363237,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEBytesMmap","thrpt",4,10,716.875317,0.430211,"ops/s",MULTILAYER_BLOCK
"checkNearestNSWEBytesMmap:CPI","thrpt",4,1,0.974044,NaN,"clks/insn",MULTILAYER_BLOCK
"checkNearestNSWEBytesMmap:IPC","thrpt",4,1,1.026647,NaN,"insns/clk",MULTILAYER_BLOCK
"checkNearestNSWEBytesMmap:branch-misses","thrpt",4,1,23516.398794,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesMmap:branches","thrpt",4,1,665159.327969,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesMmap:cycles","thrpt",4,1,4388037.121701,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEBytesMmap:instructions","thrpt",4,1,4504966.721049,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEFFMLong","thrpt",4,10,3268.020017,2.217571,"ops/s",RANDOM
"checkNearestNSWEFFMLong:CPI","thrpt",4,1,1.079582,NaN,"clks/insn",RANDOM
"checkNearestNSWEFFMLong:IPC","thrpt",4,1,0.926284,NaN,"insns/clk",RANDOM
"checkNearestNSWEFFMLong:branch-misses","thrpt",4,1,782.953082,NaN,"#/op",RANDOM
"checkNearestNSWEFFMLong:branches","thrpt",4,1,107137.754650,NaN,"#/op",RANDOM
"checkNearestNSWEFFMLong:cycles","thrpt",4,1,959115.532224,NaN,"#/op",RANDOM
"checkNearestNSWEFFMLong:instructions","thrpt",4,1,888413.519217,NaN,"#/op",RANDOM
"checkNearestNSWEFFMLong","thrpt",4,10,20764.938892,38.826943,"ops/s",FLAT_BLOCK
"checkNearestNSWEFFMLong:CPI","thrpt",4,1,0.358923,NaN,"clks/insn",FLAT_BLOCK
"checkNearestNSWEFFMLong:IPC","thrpt",4,1,2.786116,NaN,"insns/clk",FLAT_BLOCK
"checkNearestNSWEFFMLong:branch-misses","thrpt",4,1,11.609405,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEFFMLong:branches","thrpt",4,1,60226.155301,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEFFMLong:cycles","thrpt",4,1,151246.656769,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEFFMLong:instructions","thrpt",4,1,421390.678123,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEFFMLong","thrpt",4,10,4096.937387,6.495568,"ops/s",COMPLEX_BLOCK
"checkNearestNSWEFFMLong:CPI","thrpt",4,1,1.051363,NaN,"clks/insn",COMPLEX_BLOCK
"checkNearestNSWEFFMLong:IPC","thrpt",4,1,0.951146,NaN,"insns/clk",COMPLEX_BLOCK
"checkNearestNSWEFFMLong:branch-misses","thrpt",4,1,14.633894,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEFFMLong:branches","thrpt",4,1,80983.258095,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEFFMLong:cycles","thrpt",4,1,763416.701754,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEFFMLong:instructions","thrpt",4,1,726121.013619,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEFFMLong","thrpt",4,10,740.187327,0.580569,"ops/s",MULTILAYER_BLOCK
"checkNearestNSWEFFMLong:CPI","thrpt",4,1,0.886792,NaN,"clks/insn",MULTILAYER_BLOCK
"checkNearestNSWEFFMLong:IPC","thrpt",4,1,1.127660,NaN,"insns/clk",MULTILAYER_BLOCK
"checkNearestNSWEFFMLong:branch-misses","thrpt",4,1,23332.503770,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEFFMLong:branches","thrpt",4,1,663439.363962,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEFFMLong:cycles","thrpt",4,1,4250493.051599,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEFFMLong:instructions","thrpt",4,1,4793111.111241,NaN,"#/op",MULTILAYER_BLOCK
"checkNearestNSWEFFMStruct","thrpt",4,10,2366.938391,3.992853,"ops/s",RANDOM
"checkNearestNSWEFFMStruct:CPI","thrpt",4,1,0.778156,NaN,"clks/insn",RANDOM
"checkNearestNSWEFFMStruct:IPC","thrpt",4,1,1.285090,NaN,"insns/clk",RANDOM
"checkNearestNSWEFFMStruct:branch-misses","thrpt",4,1,2192.619938,NaN,"#/op",RANDOM
"checkNearestNSWEFFMStruct:branches","thrpt",4,1,287246.983538,NaN,"#/op",RANDOM
"checkNearestNSWEFFMStruct:cycles","thrpt",4,1,1326377.267295,NaN,"#/op",RANDOM
"checkNearestNSWEFFMStruct:instructions","thrpt",4,1,1704513.544385,NaN,"#/op",RANDOM
"checkNearestNSWEFFMStruct","thrpt",4,10,18657.635246,31.406742,"ops/s",FLAT_BLOCK
"checkNearestNSWEFFMStruct:CPI","thrpt",4,1,0.418773,NaN,"clks/insn",FLAT_BLOCK
"checkNearestNSWEFFMStruct:IPC","thrpt",4,1,2.387930,NaN,"insns/clk",FLAT_BLOCK
"checkNearestNSWEFFMStruct:branch-misses","thrpt",4,1,11.665788,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEFFMStruct:branches","thrpt",4,1,60233.149192,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEFFMStruct:cycles","thrpt",4,1,168157.982529,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEFFMStruct:instructions","thrpt",4,1,401549.447851,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWEFFMStruct","thrpt",4,10,4260.022998,5.195121,"ops/s",COMPLEX_BLOCK
"checkNearestNSWEFFMStruct:CPI","thrpt",4,1,1.136120,NaN,"clks/insn",COMPLEX_BLOCK
"checkNearestNSWEFFMStruct:IPC","thrpt",4,1,0.880189,NaN,"insns/clk",COMPLEX_BLOCK
"checkNearestNSWEFFMStruct:branch-misses","thrpt",4,1,14.548750,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEFFMStruct:branches","thrpt",4,1,80940.659067,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEFFMStruct:cycles","thrpt",4,1,733759.999875,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEFFMStruct:instructions","thrpt",4,1,645847.380379,NaN,"#/op",COMPLEX_BLOCK
"checkNearestNSWEFFMStruct","thrpt",4,10,725.366819,0.924504,"ops/s",MULTILAYER_BLOCK
"checkNearestNSWEFFMStruct:CPI","thrpt",4,1,0.741729,NaN,"clks/insn",MULTILAYER_BLOCK
"checkNearestNSWEFFMStruct:IPC","thrpt",4,1,1.348202,NaN,"insns/clk",MULTILAYER_BLOCK
