"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: blockTypeStr"
"GeoDriverBenchParams.checkNearestNSWEFFMStruct","thrpt",4,5,3179.048038,9.591318,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEFFMStruct","thrpt",4,5,18910.724479,645.531293,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEFFMStruct","thrpt",4,5,4020.572148,7.714338,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEFFMStruct","thrpt",4,5,729.871354,8.235447,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEFFM_T","thrpt",4,5,3375.409893,19.772614,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEFFM_T","thrpt",4,5,22272.780713,470.396486,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEFFM_T","thrpt",4,5,4508.373787,11.795254,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEFFM_T","thrpt",4,5,766.335693,2.477091,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWE_MH","thrpt",4,5,2333.445073,23.832106,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWE_MH","thrpt",4,5,9984.593137,412.221254,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE_MH","thrpt",4,5,4241.294381,111.436047,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWE_MH","thrpt",4,5,626.024146,8.742567,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWE_MH_CMP","thrpt",4,5,2778.168721,37.877455,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWE_MH_CMP","thrpt",4,5,22133.114752,177.852885,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE_MH_CMP","thrpt",4,5,4388.924528,62.929943,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWE_MH_CMP","thrpt",4,5,640.348726,3.175186,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWE_base","thrpt",4,5,353117.713147,731.761700,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWE_base","thrpt",4,5,352814.504223,503.288589,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE_base","thrpt",4,5,353107.956354,524.723086,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWE_base","thrpt",4,5,353574.174903,2958.677735,"ops/s",MULTILAYER_BLOCK
